artist_id,catalog_id,db_id,loss_thru,artwork_title,location,loc,date_lost,material,ek_inven_id,uri,art_form,envelope,work_status,db_title,date,copyright,inv_orig,env_part,thumb_url,museum_orig,artist,lat,lng
152,NA,113092,Beschlagnahme,Benz 2,"Chemnitz, Kunstsammlungen", Kunstsammlungen Chemnitz,NA,Holzschnitt,10129,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113092&viewType=detailView,Druckgraphik,NA,"Chemnitz, Kunstsammlungen",Benz,1919,"© VG Bild-Kunst, Bonn",32-17,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarVZuKUZDomnTpqlPqbqrNmy&sp=Simage%2Fjpeg,"Chemnitz, Kunsthütte","Feininger, Lyonel",50.8375587463,12.925740242
152,NA,113149,Beschlagnahme,Die Giebel in Lüneburg,"Wien, Albertina", Albertina Wien,NA,Holzschnitt,14412,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113149&viewType=detailView,Druckgraphik,NA,"Wien, Albertina",Häuser,1925,"© VG Bild-Kunst, Bonn",A 1925/25,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarWiqmdUnRpyzpqlPqbqrNmy&sp=Simage%2Fjpeg,"Dresden, Staatliches Kupferstichkabinett","Feininger, Lyonel",48.2026711,16.367979
152,NA,113087,Beschlagnahme,Das Tor,"Dresden, Kupferstich-Kabinett", Kupferstich-Kabinett Dresden,NA,Radierung,8393,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113087&viewType=detailView,Druckgraphik,NA,"Dresden, Kupferstich-Kabinett",Häuser,1912,"© VG Bild-Kunst, Bonn",A 1927/292,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarU%2FdzwffBLEBZqlPqbqrNmy&sp=Simage%2Fjpeg,"Dresden, Staatliches Kupferstichkabinett","Feininger, Lyonel",51.0519981384,13.7370500565
152,NA,113041,Beschlagnahme,Gelmeroda VII,"München, Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne", Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne München,NA,Holzschnitt,1507,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113041&viewType=detailView,Druckgraphik,NA,"München, Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne",Kirche in Gelmeroda,1918,"© VG Bild-Kunst, Bonn",7604,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarVMI1hIcd5pG5qlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",48.1390991211,11.5144996643
152,NA,113043,Beschlagnahme,Pariser Häuser,"Rostock, Kulturhistorisches Museum", Kulturhistorisches Museum Rostock,NA,Holzschnitt,1509,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113043&viewType=detailView,Druckgraphik,NA,"Rostock, Kulturhistorisches Museum",Hohe Häuser,1920,"© VG Bild-Kunst, Bonn",I 743,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUFR6yFjY82x5qlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",54.0873985291,12.1329498291
152,NA,113047,Beschlagnahme,"Kreuzende Segelschiffe, 2","Rostock, Kulturhistorisches Museum", Kulturhistorisches Museum Rostock,NA,Holzschnitt,1810,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113047&viewType=detailView,Druckgraphik,NA,"Rostock, Kulturhistorisches Museum",Schiffe,1919,"© VG Bild-Kunst, Bonn",NA,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarXmKs2mNtlDt5qlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",54.0873985291,12.1329498291
152,NA,113052,Beschlagnahme,Gebäude mit Stern,"Erfurt, Angermuseum", Angermuseum Erfurt,NA,Holzschnitt,1815-01,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113052&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Holzschnitte,1928,"© VG Bild-Kunst, Bonn",I 195.5 a,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUVulZSPt4gA5qlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",50.9760093689,11.0343103409
152,NA,127020,Beschlagnahme,Frachtdampfer und Stern,"Erfurt, Angermuseum", Angermuseum Erfurt,NA,Holzschnitt,1815-02,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=127020&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Holzschnitte,1928,"© VG Bild-Kunst, Bonn",I 199.5 b,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUSAApjRMQicZqlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",50.9760093689,11.0343103409
152,NA,127726,Beschlagnahme,"Druckvermerk der 3. Mappe Neue europäische Graphik. Deutsche Künstler","Erfurt, Angermuseum", Angermuseum Erfurt,NA,Lithographie,1919-02,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=127726&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Bauhausmappe IV,1921,"© VG Bild-Kunst, Bonn",I 470 B,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarVqYl2iQZeUUpqlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",50.9760093689,11.0343103409
152,NA,127727,Beschlagnahme,"Titelblatt der 3. Mappe Neue europäische Graphik. Deutsche Künstler","Erfurt, Angermuseum", Angermuseum Erfurt,NA,Lithographie,1919-03,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=127727&viewType=detailView,Druckgraphik,NA,"Erfurt, Angermuseum",Bauhausmappe IV,1921,"© VG Bild-Kunst, Bonn",I 470 B,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarV1oJiw7ylPsZqlPqbqrNmy&sp=Simage%2Fjpeg,"Erfurt, Museen der Stadt (Museum für Kunst und Heimatgeschichte)","Feininger, Lyonel",50.9760093689,11.0343103409
