id,artist,uri
138,"Ensor, James",http://dbpedia.org/resource/James_Ensor
139,"Epper, Ignaz",http://dbpedia.org/resource/Ignaz_Epper
140,"Erbach, Alois",http://dbpedia.org/resource/Alois_Erbach
141,"Erbslöh, Adolf",http://dbpedia.org/resource/Adolf_Erbsl%C3%B6h
142,"Erdle, Artur",http://dbpedia.org/resource/Artur_Erdle
143,"Eriksdun, Friedrich Rudolf",http://dbpedia.org/resource/Friedrich_Rudolf_Eriksdun
144,"Ernst, Max",http://dbpedia.org/resource/Max_Ernst
145,"Eulenstein, Karl",http://dbpedia.org/resource/Karl_Eulenstein
146,"Ewald, Reinhold",http://dbpedia.org/resource/Reinhold_Ewald
147,"Faistauer, Anton",http://dbpedia.org/resource/Anton_Faistauer
148,"Fauconnier, Henri Le",http://dbpedia.org/resource/Henri_Le_Fauconnier
149,"Feibusch, Hans",http://dbpedia.org/resource/Hans_Feibusch
150,"Feigl, Friedrich",http://dbpedia.org/resource/Friedrich_Feigl
151,"Feigler, Fritz",http://dbpedia.org/resource/Fritz_Feigler
152,"Feininger, Lyonel",http://dbpedia.org/resource/Lyonel_Feininger
153,"Feldbauer, Max",http://dbpedia.org/resource/Max_Feldbauer
154,"Felixmüller, Conrad",http://dbpedia.org/resource/Conrad_Felixm%C3%BCller
155,"Fernkorn, Walter",http://dbpedia.org/resource/Walter_Fernkorn
156,"Fingesten, Michel",http://dbpedia.org/resource/Michel_Fingesten
157,"Fiori, Ernesto de",http://dbpedia.org/resource/Ernesto_de_Fiori
158,"Fischer, Oskar",http://dbpedia.org/resource/Oskar_Fischer
159,"Fraaß, Erich",http://dbpedia.org/resource/Erich_Fraa%C3%9F
160,"Frank, Franz",http://dbpedia.org/resource/Franz_Frank
161,"Freundlich, Otto",http://dbpedia.org/resource/Otto_Freundlich
162,"Freytag, Otto",http://dbpedia.org/resource/Otto_Freytag
163,"Fried, Theodor",http://dbpedia.org/resource/Theodor_Fried
164,"Friedrich, Rose",http://dbpedia.org/resource/Rose_Friedrich
165,"Frieg, Willy",http://dbpedia.org/resource/Willy_Frieg
166,"Fritsch, Ernst",http://dbpedia.org/resource/Ernst_Fritsch
167,"Fuhr, Xaver",http://dbpedia.org/resource/Xaver_Fuhr
168,"Gangolf, Paul",http://dbpedia.org/resource/Paul_Gangolf
169,"Garbe, Herbert",http://dbpedia.org/resource/Herbert_Garbe
170,"Gärtner, Bernhard",http://dbpedia.org/resource/Bernhard_G%C3%A4rtner
171,"Gaul, August",http://dbpedia.org/resource/August_Gaul
172,"Geerken, Fritz",http://dbpedia.org/resource/Fritz_Geerken
173,"Gehlofen, Paul",http://dbpedia.org/resource/Paul_Gehlofen
174,"Geigenberger, Otto",http://dbpedia.org/resource/Otto_Geigenberger
175,"Geiger, Willi",http://dbpedia.org/resource/Willi_Geiger
176,"Geiseler, Hermann",http://dbpedia.org/resource/Hermann_Geiseler
177,"Geissler, Walter",http://dbpedia.org/resource/Walter_Geissler
178,"Geitlinger, Ernst",http://dbpedia.org/resource/Ernst_Geitlinger
179,"Gelbke, Georg",http://dbpedia.org/resource/Georg_Gelbke
180,"Genin, Robert",http://dbpedia.org/resource/Robert_Genin
181,"Gerhardi, Ida",http://dbpedia.org/resource/Ida_Gerhardi
182,"Gerson, Wilhelm",http://dbpedia.org/resource/Wilhelm_Gerson
183,"Gesser, Richard",http://dbpedia.org/resource/Richard_Gesser
184,"Gessner, Richard",http://dbpedia.org/resource/Richard_Gessner
185,"Gies, Ludwig",http://dbpedia.org/resource/Ludwig_Gies
186,"Gilles, Werner",http://dbpedia.org/resource/Werner_Gilles
187,"Gleichmann, Otto",http://dbpedia.org/resource/Otto_Gleichmann
188,"Gleizes, Albert",http://dbpedia.org/resource/Albert_Gleizes
189,"Glette, Erich",http://dbpedia.org/resource/Erich_Glette
190,"Glumer, von",http://dbpedia.org/resource/von_Glumer
191,"Gobiet, Bernhard",http://dbpedia.org/resource/Bernhard_Gobiet
192,"Gogh, Vincent van",http://dbpedia.org/resource/Vincent_van_Gogh
193,"Goldschmitt, Bruno",http://dbpedia.org/resource/Bruno_Goldschmitt
194,"Gontscharowa, Natalia",http://dbpedia.org/resource/Natalia_Gontscharowa
195,"Gothein, Werner",http://dbpedia.org/resource/Werner_Gothein
196,"Gotsch, Friedrich Karl",http://dbpedia.org/resource/Friedrich_Karl_Gotsch
197,"Gött, Hans",http://dbpedia.org/resource/Hans_G%C3%B6tt
198,"Graf, Oskar Maria",http://dbpedia.org/resource/Oskar_Maria_Graf
199,"Gramatté, Walter",http://dbpedia.org/resource/Walter_Gramatt%C3%A9
200,"Grassmann, Günther",http://dbpedia.org/resource/G%C3%BCnther_Grassmann
201,"Greferath, Johannes",http://dbpedia.org/resource/Johannes_Greferath
202,"Grodsinsky, Grodnik",http://dbpedia.org/resource/Grodnik_Grodsinsky
203,"Grohmann, Will",http://dbpedia.org/resource/Will_Grohmann
204,"Gromaire, Marcel",http://dbpedia.org/resource/Marcel_Gromaire
205,"Groß, Hans Friedrich",http://dbpedia.org/resource/Hans_Friedrich_Gro%C3%9F
206,"Großberg, Carl",http://dbpedia.org/resource/Carl_Gro%C3%9Fberg
207,"Großmann, Ludwig Wilhelm",http://dbpedia.org/resource/Ludwig_Wilhelm_Gro%C3%9Fmann
208,"Großmann, Rudolf",http://dbpedia.org/resource/Rudolf_Gro%C3%9Fmann
209,"Grosz, George",http://dbpedia.org/resource/George_Grosz
210,"Grundig, Hans",http://dbpedia.org/resource/Hans_Grundig
211,"Grünfeldt, Paula",http://dbpedia.org/resource/Paula_Gr%C3%BCnfeldt
212,!Gunzinger,nA
213,"Gütersloh, Albert Paris von",http://dbpedia.org/resource/Albert_Paris_von_G%C3%BCtersloh
214,"Haberfeld, Alfred",http://dbpedia.org/resource/Alfred_Haberfeld
215,"Haberfeld, Julius",http://dbpedia.org/resource/Julius_Haberfeld
216,"Häberlein, Fritz",http://dbpedia.org/resource/Fritz_H%C3%A4berlein
217,"Haer, Adolf Josef Maria de",http://dbpedia.org/resource/Adolf_Josef_Maria_de_Haer
218,"Haizmann, Richard",http://dbpedia.org/resource/Richard_Haizmann
219,"Hal, Hans",http://dbpedia.org/resource/Hans_Hal
220,"Hallerstede, Ulrich",http://dbpedia.org/resource/Ulrich_Hallerstede
221,"Hanf, Alfred",http://dbpedia.org/resource/Alfred_Hanf
222,"Hartig, Hans Christoph",http://dbpedia.org/resource/Hans_Christoph_Hartig
223,"Hartmann, Anton",http://dbpedia.org/resource/Anton_Hartmann
224,"Hasse, Sella",http://dbpedia.org/resource/Sella_Hasse
225,"Haueisen, Albert",http://dbpedia.org/resource/Albert_Haueisen
226,"Hausenstein, Wilhelm",http://dbpedia.org/resource/Wilhelm_Hausenstein
227,"Hebert, Guido",http://dbpedia.org/resource/Guido_Hebert
228,"Heck, Georg",http://dbpedia.org/resource/Georg_Heck
229,"Heckel, Erich",http://dbpedia.org/resource/Erich_Heckel
