id,artist,uri,ntnl,mvmnt,born,died,subj_terms
43,"Berlit, Rüdiger",http://dbpedia.org/resource/R%C3%BCdiger_Berlit,nA,nA,nA,nA,nA
44,"Best, Georg Jakob",http://dbpedia.org/resource/Georg_Jakob_Best,nA,nA,nA,nA,nA
45,"Biermann, Georg",http://dbpedia.org/resource/Georg_Biermann,nA,nA,nA,nA,nA
46,"Biesemann, Paul",http://dbpedia.org/resource/Paul_Biesemann,nA,nA,nA,nA,nA
47,"Bindel, Paul",http://dbpedia.org/resource/Paul_Bindel,nA,nA,nA,nA,nA
48,"Bing, Henry",http://dbpedia.org/resource/Henry_Bing,nA,nA,nA,nA,nA
49,"Bischoff, Constanze",http://dbpedia.org/resource/Constanze_Bischoff,nA,nA,nA,nA,nA
50,"Bissier, Julius",http://dbpedia.org/resource/Julius_Bissier,nA,nA,nA,nA,nA
51,"Bizer, Emil",http://dbpedia.org/resource/Emil_Bizer,nA,nA,nA,nA,nA
52,"Blanchard, Maria",http://dbpedia.org/resource/Maria_Blanchard,Spanish,nA,1881-03-06,1932-04-05,"Spanish_women_artists, Spanish_painters, Women_painters, 1881_births, 1932_deaths, Spanish_people_with_disabilities"
53,"Bloch, Albert",http://dbpedia.org/resource/Albert_Bloch,nA,nA,1882-08-02,1961-03-23,"American_expatriates_in_Germany, American_painters, Modernism, American_educators, People_from_St._Louis,_Missouri, University_of_Kansas_faculty, 1882_births, 1961_deaths, 20th-century_painters, Artists_from_Chicago,_Illinois"
54,"Blumenthal, Hermann",http://dbpedia.org/resource/Hermann_Blumenthal,nA,nA,1905-12-31,1942-08-17,"German_military_personnel_of_World_War_II, German_sculptors, People_from_the_Rhine_Province, 1905_births, 1942_deaths, People_from_Essen"
55,"Boccioni, Umberto",http://dbpedia.org/resource/Umberto_Boccioni,Italians,Futurism,1882-10-19,1916-08-17,"Italian_military_personnel_killed_in_World_War_I, Futurist_painters, Italian_sculptors, Italian_artists, 1882_births, 1916_deaths, Futurist_sculptors, Italian_Futurist_painters, Italian_painters, People_from_Reggio_Calabria, Deaths_by_horse-riding_accident"
56,"Bock, Ludwig",http://dbpedia.org/resource/Ludwig_Bock,nA,nA,nA,nA,nA
57,"Böckstiegel, Peter August",http://dbpedia.org/resource/Peter_August_B%C3%B6ckstiegel,nA,nA,nA,nA,nA
58,"Bollschweiler, Jack",http://dbpedia.org/resource/Jack_Bollschweiler,nA,nA,nA,nA,nA
59,"Bonk, Artur",http://dbpedia.org/resource/Artur_Bonk,nA,nA,nA,nA,nA
60,"Bösken, Lorenz",http://dbpedia.org/resource/Lorenz_B%C3%B6sken,nA,nA,nA,nA,nA
61,"Bötticher, Walther",http://dbpedia.org/resource/Walther_B%C3%B6tticher,nA,nA,nA,nA,nA
62,"Braque, Georges",http://dbpedia.org/resource/Georges_Braque,French people,"Cubism, Fauvism",1882-05-13,1963-08-31,"French_military_personnel_of_World_War_I, Collage, Cubism, Fauvism, French_sculptors, 1882_births, 1963_deaths, Burials_in_Varengeville-sur-Mer, French_painters, People_from_Argenteuil, Still_life_painters"
63,"Brasch, Hans",http://dbpedia.org/resource/Hans_Brasch,nA,nA,nA,nA,nA
64,"Braun, Eduard",http://dbpedia.org/resource/Eduard_Braun,nA,nA,nA,nA,nA
65,"Breker, Arno",http://dbpedia.org/resource/Arno_Breker,German,nA,1900-07-19,1991-02-13,"Olympic_silver_medalists_in_art_competitions, German_sculptors, People_from_the_Rhine_Province, 1900_births, 1991_deaths, German_Nazi_politicians, Modern_sculptors, Nazi_architecture, People_from_Elberfeld"
66,"Brendgen, Elmar",http://dbpedia.org/resource/Elmar_Brendgen,nA,nA,nA,nA,nA
67,"Brieger, L.",http://dbpedia.org/resource/L._Brieger,nA,nA,nA,nA,nA
68,"Brockhusen, Theo von",http://dbpedia.org/resource/Theo_von_Brockhusen,nA,nA,nA,nA,nA
69,"Brühlmann, Hans",http://dbpedia.org/resource/Hans_Br%C3%BChlmann,nA,nA,nA,nA,nA
70,"Brun-Stiller, Benedikt",http://dbpedia.org/resource/Benedikt_Brun-Stiller,nA,nA,nA,nA,nA
71,"Brün, Theo",http://dbpedia.org/resource/Theo_Br%C3%BCn,nA,nA,nA,nA,nA
72,"Brüne, Heinrich",http://dbpedia.org/resource/Heinrich_Br%C3%BCne,nA,nA,nA,nA,nA
73,"Brust, Karl Friedrich",http://dbpedia.org/resource/Karl_Friedrich_Brust,nA,nA,nA,nA,nA
74,"Buchheister, Carl",http://dbpedia.org/resource/Carl_Buchheister,nA,nA,1890-10-17,1964-02-02,"German_painters, Modern_painters, 1890_births, 1964_deaths"
75,"Burchartz, Max",http://dbpedia.org/resource/Max_Burchartz,Germans,nA,1887-07-28,1961-01-31,"1887_births, 1961_deaths, German_photographers"
76,"Burger-Mühlfeld, Fritz",http://dbpedia.org/resource/Fritz_Burger-M%C3%BChlfeld,nA,nA,nA,nA,nA
77,"Burmann, Fritz",http://dbpedia.org/resource/Fritz_Burmann,nA,nA,nA,nA,nA
78,"Busch-Alsen, Hans",http://dbpedia.org/resource/Hans_Busch-Alsen,nA,nA,nA,nA,nA
79,"Busch, Walter",http://dbpedia.org/resource/Walter_Busch,nA,nA,1919-04-15,1945-04-07,"German_military_personnel_of_World_War_II, Luftwaffe_personnel, Recipients_of_the_Knight's_Cross, 1919_births, 1945_deaths, German_military_personnel_killed_in_World_War_II, Recipients_of_the_Iron_Cross"
80,"Camenisch, Paul",http://dbpedia.org/resource/Paul_Camenisch,nA,nA,nA,nA,"1893_births, 1970_deaths, Swiss_painters"
81,"Campendonk, Heinrich",http://dbpedia.org/resource/Heinrich_Campendonk,nA,nA,1889-11-03,1957-05-09,"German_painters, People_from_Krefeld, Expressionism, Modern_painters, 1889_births, 1957_deaths"
82,"Čapek, Josef",http://dbpedia.org/resource/Josef_%C4%8Capek,nA,nA,1887-03-23,nA,"Czechoslovak_civilians_killed_in_World_War_II, Writers_who_died_in_Nazi_concentration_camps, Czech_painters, Czech_writers, Writers_who_illustrated_their_own_writing, Bergen-Belsen_concentration_camp_victims, 1887_births, 1945_deaths, Painters_who_died_in_Nazi_concentration_camps, People_from_Hronov, Recipients_of_the_Order_of_Tomáš_Garrigue_Masaryk, Cubist_artists"
83,"Carrà, Carlo",http://dbpedia.org/resource/Carlo_Carr%C3%A0,nA,Futurist,1881-02-11,1966-04-13,"Anarchist_artists, Italian_anarchists, Italian_muralists, Art_writers, 1881_births, 1966_deaths, Brera_Academy_alumni, Italian_Futurist_painters, Italian_fascists, People_from_the_Province_of_Alessandria"
84,"Caspar-Filser, Maria",http://dbpedia.org/resource/Maria_Caspar-Filser,nA,nA,nA,nA,nA
85,"Caspar, Karl",http://dbpedia.org/resource/Karl_Caspar,nA,nA,nA,nA,nA
86,"Cassel, Pol",http://dbpedia.org/resource/Pol_Cassel,nA,nA,nA,nA,nA
