id,artist
118,"Dornbach, Hans"
119,"Dressler, August Wilhelm"
120,"Drewes, Werner"
121,"Drexel, Hans Christof"
122,"Driesch, Johannes"
123,"Dülberg, Ewald"
124,"Dungert, Max"
125,"Dunken, Max"
126,"Düssel, Eugen"
127,"Eberhard, Heinrich"
128,"Eberz, Josef"
129,"Ederer, Carl"
130,"Edzard, Dietz"
131,"Ehlers, Karl"
132,"Ehmsen, Heinrich"
133,"Einstein, Carl"
134,"Elkan, Benno"
135,"Engelmann, Annette"
136,"Engelmann, Richard"
137,"Enseling, Joseph"
138,"Ensor, James"
139,"Epper, Ignaz"
140,"Erbach, Alois"
141,"Erbslöh, Adolf"
142,"Erdle, Artur"
143,"Eriksdun, Friedrich Rudolf"
144,"Ernst, Max"
145,"Eulenstein, Karl"
146,"Ewald, Reinhold"
147,"Faistauer, Anton"
148,"Fauconnier, Henri Le"
149,"Feibusch, Hans"
150,"Feigl, Friedrich"
151,"Feigler, Fritz"
152,"Feininger, Lyonel"
153,"Feldbauer, Max"
154,"Felixmüller, Conrad"
155,"Fernkorn, Walter"
156,"Fingesten, Michel"
157,"Fiori, Ernesto de"
158,"Fischer, Oskar"
159,"Fraaß, Erich"
160,"Frank, Franz"
161,"Freundlich, Otto"
162,"Freytag, Otto"
163,"Fried, Theodor"
164,"Friedrich, Rose"
165,"Frieg, Willy"
166,"Fritsch, Ernst"
167,"Fuhr, Xaver"
168,"Gangolf, Paul"
169,"Garbe, Herbert"
170,"Gärtner, Bernhard"
171,"Gaul, August"
172,"Geerken, Fritz"
173,"Gehlofen, Paul"
174,"Geigenberger, Otto"
175,"Geiger, Willi"
176,"Geiseler, Hermann"
177,"Geissler, Walter"
178,"Geitlinger, Ernst"
179,"Gelbke, Georg"
180,"Genin, Robert"
181,"Gerhardi, Ida"
182,"Gerson, Wilhelm"
183,"Gesser, Richard"
184,"Gessner, Richard"
185,"Gies, Ludwig"
186,"Gilles, Werner"
187,"Gleichmann, Otto"
188,"Gleizes, Albert"
189,"Glette, Erich"
190,"Glumer, von"
191,"Gobiet, Bernhard"
192,"Gogh, Vincent van"
193,"Goldschmitt, Bruno"
194,"Gontscharowa, Natalia"
195,"Gothein, Werner"
196,"Gotsch, Friedrich Karl"
197,"Gött, Hans"
198,"Graf, Oskar Maria"
199,"Gramatté, Walter"
200,"Grassmann, Günther"
201,"Greferath, Johannes"
202,"Grodsinsky, Grodnik"
203,"Grohmann, Will"
204,"Gromaire, Marcel"
205,"Groß, Hans Friedrich"
206,"Großberg, Carl"
207,"Großmann, Ludwig Wilhelm"
208,"Großmann, Rudolf"
209,"Grosz, George"
210,"Grundig, Hans"
211,"Grünfeldt, Paula"
212,Gunzinger
213,"Gütersloh, Albert Paris von"
214,"Haberfeld, Alfred"
215,"Haberfeld, Julius"
216,"Häberlein, Fritz"
217,"Haer, Adolf Josef Maria de"
218,"Haizmann, Richard"
219,"Hal, Hans"
220,"Hallerstede, Ulrich"
221,"Hanf, Alfred"
222,"Hartig, Hans Christoph"
223,"Hartmann, Anton"
224,"Hasse, Sella"
225,"Haueisen, Albert"
226,"Hausenstein, Wilhelm"
227,"Hebert, Guido"
228,"Heck, Georg"
229,"Heckel, Erich"
230,"Heckendorf, Franz"
231,"Heckrott, Wilhelm"
232,"Heemskerck, Jacoba van"
233,"Hegenbarth, Josef"
234,"Heidingsfeld, Fritz"
235,"Hein, Gerhart Wilhelm August"
236,"Heinisch, Rudolf W."
237,"Helbig, Walter"
238,"Hempel, Willy"
239,"Hennig, Artur"
240,"Herbig, Otto"
241,"Hergarden, Bernhard"
242,"Herrmann, Curt"
243,"Herrmann, Johann Karl"
244,"Herthel, Ludwig"
245,"Herzog, Oswald"
246,"Hess, Emmy"
247,"Hestrich, Paul"
248,"Hettner, Otto"
249,"Hetzeld, Fritz"
250,"Heubner, Friedrich"
